fid,item_id,lon,lat,Year
183,656,-82.54,8.81,After 2000
184,656,-80.64,8.86,After 2000
185,656,-81.61,8.86,After 2000
186,656,-79.64,8.94,After 2000
187,656,-79.66,9.07,After 2000
188,656,-80.12,9.15,After 2000
189,656,-79.85,9.15,After 2000
190,656,-79.65,9.55,After 2000
191,660,-90.68,17.57,After 2000
192,669,-101,31,After 2000
193,671,-75.1,23.18,Before 2000
194,676,142.4,-37.21,After 2000
195,677,142.4,-37.21,After 2000
196,684,-109.01,32.2,After 2000
197,688,-96.73,32.4,Before 2000
198,689,-97.39,35.41,After 2000
199,690,-116.2,33.7,After 2000
200,692,-112.92,32.25,After 2000
201,698,-91.49,17.42,After 2000
202,699,-120.38,34.03,After 2000
203,700,-105.7,32.83,After 2000
204,706,-83.79,41.62,After 2000
205,707,-83.5,41.68,After 2000
206,713,132.3,-31.9,After 2000
207,719,-125.5,56.5,After 2000
208,727,145.401944,-15.959167,After 2000
209,730,22.25,-32.67,After 2000
210,733,-76.39,35.87,After 2000
211,734,146.66,-41.13,After 2000
212,735,-120.04,39.09,After 2000
213,737,-121.17,36.49,After 2000
214,748,-116.78,43.98,After 2000
215,750,-123.33,41.5,After 2000
216,751,-129.08,51.87,Before 2000
217,755,-78.77,45.5,After 2000
218,760,-79.85,38.93,After 2000
219,768,-84.520295,30.482061,After 2000
220,768,-84.59553,30.543134,After 2000
221,768,-84.20875,30.6565,After 2000
222,769,-88.23,40.11,After 2000
223,771,-122.81,39.56,After 2000
224,773,-150.5,63.33,After 2000
225,774,38.5,-4.75,After 2000
226,775,37.75,-4,After 2000
227,776,36.68,-7.8,After 2000
228,782,120.88,23.91,After 2000
229,790,-48.1,-25.05,After 2000
230,791,-68.3,8.67,After 2000
231,794,20.57,52.32,After 2000
232,804,-82.11,36.1,After 2000
233,810,103.66,2.21,After 2000
234,813,22.97,-33.92,Before 2000
235,820,116.71,6.04,After 2000
236,821,-82.65,9.62,After 2000
237,823,107.76,-7.28,After 2000
238,825,-75.55,6.1,After 2000
239,829,99.29,15.54,After 2000
240,830,77.58,8.88,After 2000
241,845,-2.32,49.43,After 2000
242,847,59.6,46.02,After 2000
243,851,-5.07,50.15,After 2000
244,855,121.56,25.17,After 2000
245,856,-81.67,33.25,After 2000
246,858,110.24,-1.24,After 2000
247,863,110.33,31.52,After 2000
248,867,30.4,0.5,After 2000
249,890,-0.97,45.95,After 2000
250,892,-111.97,25.85,After 2000
251,893,-89.95,18.56,After 2000
252,894,-87.18,21.22,After 2000
253,896,-84.43,14.63,After 2000
254,898,-75.64,6.06,After 2000
255,903,-99.16,22.9,After 2000
256,904,-73.42,5.08,After 2000
257,905,-71.36,-40.16,After 2000
258,907,-71.84,-42.84,After 2000
259,913,153.13,-28.03,After 2000
260,914,-67.97,-34.03,After 2000
261,915,-106.83,34.33,After 2000
262,920,11.66,16.39,After 2000
263,944,117.04,5.03,After 2000
264,945,101.83,5.8,After 2000
265,946,96.56,26.44,After 2000
266,970,-155.2,19.38,After 2000
267,972,-118.75,35.03,After 2000
268,973,-116.77,33.02,After 2000
269,974,-118.07,33.74,After 2000
270,975,148.95,-35.53,After 2000
271,977,-119.22,39.59,After 2000
272,978,-118.75,35.03,After 2000
273,980,-105.82,39.63,After 2000
274,981,-105.08,40.58,After 2000
275,989,54.7,32.1,After 2000
276,1002,-79.85,9.15,After 2000
277,1003,-83.07,8.95,After 2000
278,1030,76.63,11.55,After 2000
279,1032,150.81,-35.05,After 2000
280,1033,-5.27,40.25,After 2000
281,1039,151.06,-34.08,After 2000
282,1039,151.25,-33.62,After 2000
283,1039,150.46,-33.6,After 2000
284,1047,-73.33,3.83,After 2000
