fid,item_id,lon,lat,Year
760,2656,40.61,39.4,After 2000
761,2674,28.09,-26.29,After 2000
762,2675,130.63,-11.76,After 2000
763,2681,80.01,24.73,After 2000
764,2687,-88.98,16.96,After 2000
765,2694,-104.77,40.82,After 2000
766,2698,-79.85,9.17,After 2000
768,2699,-149.99,59.92,After 2000
769,2699,-147.67,60.38,After 2000
767,2699,-149.67,59.82,After 2000
770,2710,103.64,20.46,After 2000
771,2712,30.85,-29.79,After 2000
772,2713,50.1,-15.64,After 2000
773,2713,49.54,-15.4,After 2000
774,2726,150.58,-23.33,After 2000
775,2736,-59.27,-17.82,After 2000
776,2736,-59.67,-17,After 2000
777,2736,-61.87,-16.1,After 2000
778,2736,-53.68,-5.27,After 2000
779,2736,-53.27,-5.12,After 2000
780,2736,-52.22,-4.48,After 2000
781,2736,-52.45,-4.38,After 2000
782,2736,-84.12,13.83,After 2000
783,2736,-89.25,17.32,After 2000
784,2736,-89.28,17.42,After 2000
785,2736,-90,17.5,After 2000
786,2736,-90.15,17.5,After 2000
787,2736,-89.77,17.58,After 2000
788,2742,102.18,3.72,After 2000
789,2744,75.95,12.13,After 2000
790,2746,-83.55,9.81,After 2000
791,2746,-83.66,9.88,After 2000
792,2746,-83.72,9.93,After 2000
793,2751,36.72,-7.77,After 2000
794,2752,16.45,2.47,After 2000
795,2755,29.87,-23,After 2000
796,2758,-74.33,44,After 2000
797,2760,-53.72,-5.08,After 2000
798,2762,99.01,22.08,After 2000
799,2764,23.5,41.67,After 2000
800,2764,23.25,42.55,After 2000
801,2766,-81.67,33.25,After 2000
802,2768,-112.22,40.95,After 2000
803,2772,-4.62,37.58,After 2000
804,2772,-4.3,37.97,After 2000
805,2772,-4.27,38.02,After 2000
806,2773,-49.7,-22.4,After 2000
807,2775,150.65,-35.15,After 2000
808,2778,-53.07,-25.44,After 2000
809,2780,-70,-54,After 2000
810,2791,-117.65,33.9,After 2000
811,2792,-55.42,2.98,After 2000
812,2793,-56.74,2.59,After 2000
813,2794,-111.86,33.65,After 2000
814,2797,153.08,-30.01,After 2000
815,2800,88.28,43.36,After 2000
816,2800,88.02,43.38,After 2000
817,2808,173.72,-41.13,After 2000
818,2808,173.82,-41.1,After 2000
819,2809,115.4,-20.78,After 2000
820,2827,-121.74,37.38,After 2000
821,2833,21.83,52.15,After 2000
822,2833,22.08,52.17,After 2000
823,2834,-6.35,42.02,After 2000
824,2837,-118.5,36.04,After 2000
825,2837,-118.49,36.63,After 2000
826,2837,-119.17,37.42,After 2000
827,2846,19.42,-32.45,After 2000
828,2851,78.1,29.55,After 2000
829,2855,-116.73,32.68,Before 2000
830,2855,-121.44,37.19,Before 2000
831,2855,-123.09,38.55,Before 2000
832,2855,-123.01,38.77,Before 2000
833,2855,-114.24,50.06,Before 2000
834,2859,-162.08,5.88,After 2000
835,2864,-156.6,20.56,After 2000
836,2868,-99.51,30.06,After 2000
837,2871,-110.97,18.78,After 2000
838,2871,-109.8,24.15,After 2000
839,2875,-74.51,41.19,After 2000
840,2879,-106.45,39.12,After 2000
841,2880,150.99,-34.17,After 2000
842,2880,150.95,-34.12,After 2000
843,2880,151.06,-34.07,After 2000
844,2886,-119.57,37.73,After 2000
845,2888,122.29,-22.61,After 2000
846,2892,13,3,After 2000
847,2893,-86.09,35.39,After 2000
848,2902,-59.48,-1.8,After 2000
849,2907,-40.43,-20.55,After 2000
850,2907,-40.53,-20.53,After 2000
851,2908,-6.5,37,After 2000
852,2910,37.78,37.78,After 2000
853,2913,-81.99,29.21,After 2000
854,2915,24,60,After 2000
855,2919,-69.97,41.84,After 2000
856,2923,-67.17,17.98,After 2000
857,2923,-65.78,18.32,After 2000
858,2927,106.45,14.28,After 2000
859,2929,-120.09,33.98,After 2000
860,2929,-120.37,34.04,After 2000
861,2940,77.32,8.68,After 2000
862,2948,8.5,34.1,After 2000
863,2957,-57.42,-35.13,After 2000
864,2958,-119.54,33.26,After 2000
865,2959,-121.76,46.85,Before 2000
866,2969,149.22,-23.53,After 2000
867,2990,14,-0.5,After 2000
868,3002,147.35,-43.16,After 2000
869,3002,147.04,-43.1,After 2000
870,3002,146.91,-43.02,After 2000
871,3002,145.96,-41.64,After 2000
872,3030,-42.55,-8.67,After 2000
873,3031,-111.88,40.75,After 2000
874,3035,46.3,-25.01,After 2000
875,3037,-6.5,37,After 2000
876,3045,22.48,49.28,After 2000
877,3046,-74.47,40.71,After 2000
878,3050,142.4,-37.21,After 2000
879,3053,37,0,After 2000
880,3055,-69.15,44.73,After 2000
881,3056,-155.42,19.48,After 2000
882,3056,-155.45,19.9,After 2000
883,3058,117.41,5.35,After 2000
884,3058,117.22,5.44,After 2000
885,3065,76.55,11.58,After 2000
886,3067,-68.53,48.45,After 2000
887,3068,36.68,-7.8,After 2000
888,3072,117.81,4.96,After 2000
889,3075,-122.22,37.17,After 2000
890,3076,47.42,-21.22,After 2000
891,3079,-76.42,35.95,After 2000
892,3081,-56.47,-9.88,After 2000
893,3082,107.03,16.2,After 2000
894,3087,-111.95,38.27,After 2000
895,3087,-111.89,38.33,After 2000
896,3098,-68.24,-6.62,After 2000
897,3111,-121.5,40.49,After 2000
898,3114,142.38,-34.69,After 2000
899,3120,104.33,-5.43,After 2000
900,3122,-94.41,31.27,After 2000
901,3123,120.18,-1.47,After 2000
902,3125,15,61,After 2000
903,3125,16,64,After 2000
904,3127,101.6,-0.08,After 2000
905,3132,129.61,-3.24,After 2000
906,3132,129.62,-3.23,After 2000
907,3132,129.56,-3.18,After 2000
908,3132,129.2,-3.03,After 2000
909,3135,150.84,-34.24,After 2000
910,3135,150.98,-34.17,After 2000
911,3135,115.06,-34.15,After 2000
912,3137,-121.35,48.83,After 2000
913,3139,-8.29,43.28,After 2000
914,3141,-155.2,19.38,After 2000
915,3142,116.47,4.23,After 2000
916,3145,-0.59,38.73,After 2000
917,3147,-6.5,37,After 2000
918,3149,-113.43,32.32,Before 2000
919,3150,78.23,22.5,After 2000
920,3150,76.44,27.32,After 2000
921,3153,-71.37,47.17,After 2000
922,3155,-91.03,30.49,After 2000
923,3163,-75.07,37.88,After 2000
924,3164,-68.22,44.35,After 2000
925,3166,-80.7,7.28,After 2000
926,3166,-77.55,7.74,After 2000
927,3167,-155.2,19.38,After 2000
928,3167,-155.27,19.48,After 2000
929,3174,-90.5,33.67,After 2000
930,3175,-1.83,9.7,After 2000
931,3179,101.92,16.08,After 2000
932,3181,103.8,1.37,After 2000
933,3181,103.73,1.45,After 2000
934,3182,-67.64,-5.77,After 2000
935,3184,-83.85,41.55,After 2000
936,3184,-83.79,41.62,After 2000
937,3185,-71,-13,After 2000
938,3185,-71,-12,After 2000
939,3185,-71.72,-11.86,After 2000
940,3186,-94.41,31.27,After 2000
941,3190,12.63,0.09,After 2000
942,3192,12.58,43.28,After 2000
943,3193,136.5,-13.97,After 2000
944,3195,29.68,-1.02,After 2000
945,3197,-122.5,38.37,After 2000
946,3198,132.67,-12.42,After 2000
947,3201,-116.68,33.81,After 2000
948,3202,-52.08,1.62,After 2000
949,3203,-119.54,33.26,After 2000
950,3205,30.98,-24.15,After 2000
951,3206,-70.2,-3.48,After 2000
952,3210,150.7,-34.67,After 2000
953,3212,-84.97,32.35,After 2000
954,3213,103.87,1.83,After 2000
955,3214,116.84,4.85,After 2000
956,3215,-123.38,48.68,After 2000
957,3215,-123.37,48.73,After 2000
958,3215,-123.64,48.96,After 2000
959,3217,-103.88,42.69,After 2000
960,3218,103.86,1.81,After 2000
961,3219,89.55,26.65,After 2000
962,3220,90.76,26.9,After 2000
963,3221,-83.62,10,After 2000
964,3221,-83.61,10.08,After 2000
965,3222,-50.07,-9.69,After 2000
966,3222,-117.2,33.02,After 2000
967,3224,-75.62,6.06,After 2000
968,3227,-113.86,33.27,After 2000
969,3228,-53.93,-17.26,After 2000
970,3231,46.83,23.2,After 2000
971,3232,-59.46,-1.2,After 2000
972,3233,-118.73,35.02,After 2000
973,3234,-79.34,43.62,After 2000
974,3235,70.14,22.51,After 2000
975,3236,1.52,11.05,After 2000
976,3254,-79.67,43.57,After 2000
977,3266,103,4.17,After 2000
978,3286,-111.09,33.66,Before 2000
979,3297,-122.8,45.7,After 2000
980,3315,97.3,25.38,After 2000
981,3322,121.56,-26.23,After 2000
982,3335,-4,40.5,After 2000
983,3338,19.43,-32.52,After 2000
984,3338,19.47,-32.45,After 2000
985,3338,19.38,-32.32,After 2000
986,3340,-89.55,18.61,After 2000
987,3344,-114.05,47.08,After 2000
988,3344,-114.16,47.69,After 2000
989,3347,-113.43,32.32,Before 2000
990,3349,-110.5,44.6,After 2000
991,3355,-110.5,44.6,After 2000
992,3357,-116.92,46.12,Before 2000
993,3362,-115.48,35.01,After 2000
994,3364,116.47,4.23,After 2000
995,3373,-121.44,38.27,After 2000
996,3374,-89.37,37.37,After 2000
997,3375,-76.56,36.62,After 2000
998,3379,-83.62,9.3,After 2000
999,3379,-83.57,9.37,After 2000
1000,3379,-83.58,9.4,After 2000
1001,3382,147.47,-37.17,After 2000
1002,3382,147.93,-37.12,After 2000
1003,3382,148.3,-37.03,After 2000
1004,3382,148.33,-36.9,After 2000
1005,3384,-56.47,-9.88,After 2000
1006,3387,-80.37,25.18,After 2000
1007,3387,-80.36,25.19,After 2000
1008,3390,113.04,-25.76,After 2000
1009,3392,-119.17,37.42,After 2000
1010,3392,-120.04,39.09,After 2000
1011,3394,-123.38,58.88,After 2000
1012,3398,-117.11,32.6,After 2000
1013,3400,-114.07,46.08,After 2000
1014,3400,-114.09,46.58,After 2000
1015,3400,-114.06,46.63,After 2000
1016,3400,-114.07,46.68,After 2000
1017,3400,-114.07,46.68,After 2000
1018,3400,-114.07,46.69,After 2000
1019,3400,-114.07,46.69,After 2000
1020,3400,-114.01,46.73,After 2000
1021,3400,-114.1,46.94,After 2000
1022,3400,-114.1,46.94,After 2000
1023,3400,-114.12,46.94,After 2000
1024,3400,-114.15,46.96,After 2000
1025,3404,-116.87,32.68,After 2000
1026,3405,-42.55,-8.67,After 2000
1027,3415,-84.02,10.42,After 2000
1028,3418,-47.15,-16.2,After 2000
1029,3432,-120.89,35.27,After 2000
1030,3434,-80,43,After 2000
1031,3440,-107.24,42.26,After 2000
1032,3442,-105.15,40.59,After 2000
1033,3443,-81.03,25.86,After 2000
1034,3443,-81.42,26,After 2000
1035,3444,-121.85,38.07,After 2000
1036,3447,-88.26,15.54,After 2000
1037,3452,-94.2,35.27,After 2000
1038,3455,-79.85,9.15,After 2000
1039,3457,-77.6,-0.6,After 2000
1040,3458,15.09,-26.675,After 2000
1041,3458,15.329722,-24.546389,After 2000
1042,3459,-89.67,46.17,After 2000
1043,3464,-122.1,37.6,After 2000
1044,3467,-103.25,29.25,After 2000
1045,3468,-83.58,9.47,After 2000
1046,3470,117.27,4.55,After 2000
1047,3471,-104.17,30.63,After 2000
1048,3474,-114.39,51.17,After 2000
1049,3475,-82.76,27.59,After 2000
1050,3479,-97.03,47.93,After 2000
1051,3481,12.38,61.67,After 2000
1052,3481,12.8,62.42,After 2000
1053,3482,-124.77,48.64,After 2000
1054,3482,-125.93,49.3,After 2000
1055,3484,-136.09,59.53,After 2000
1056,3486,12.63,0.09,After 2000
1057,3491,-81.54,24.67,After 2000
1058,3494,-124.2,41.87,After 2000
1059,3495,-88.94,16.71,After 2000
1060,3495,-88.66,16.72,After 2000
1061,3495,-88.91,16.97,After 2000
1062,3498,-82.35,38.31,After 2000
1063,3498,-82.24,38.59,After 2000
1064,3500,-158,21.46,After 2000
1065,3502,-121.69,36.61,After 2000
1066,3502,-121.78,36.68,After 2000
1067,3503,-80.22,45.36,After 2000
1068,3505,-150.5,63.33,After 2000
1069,3513,-62.66,-4.87,After 2000
1070,3515,-43.5,-18.8,After 2000
1071,3518,107.28,33.77,After 2000
1072,3520,-115.48,35.01,After 2000
1073,3521,15.01,37.74,After 2000
1074,3522,-77.55,7.74,After 2000
1075,3522,-77.54,8.53,After 2000
1076,3522,-81.73,8.77,After 2000
1077,3522,-78.1,9.2,After 2000
1078,3522,-106.2,35.7,After 2000
1079,3523,137.98,-35.8,After 2000
1080,3523,138.2,-35.59,After 2000
1081,3525,-146.15,63.57,After 2000
1082,3525,-146.66,63.82,After 2000
1083,3526,-78.63,35.77,After 2000
1084,3526,-77.02,38.9,After 2000
1085,3527,31.02,-29.87,After 2000
1086,3529,139.26,35.75,After 2000
1087,3532,114.28,24.67,After 2000
1088,3535,36.68,-7.8,After 2000
1089,3537,132.5,-14.09,After 2000
1090,3537,130.88,-13.28,After 2000
1091,3537,132.67,-12.42,After 2000
1092,3538,28.09,-26.29,After 2000
1093,3541,104.05,32.08,After 2000
1094,3541,107.13,33.13,After 2000
1095,3542,31.55,1.72,After 2000
1096,3544,106.46,-7.25,After 2000
1097,3544,107.72,-7.22,After 2000
1098,3544,107.79,-7.14,After 2000
1099,3544,107.23,-6.95,After 2000
1100,3544,106.66,-6.73,After 2000
1101,3545,31.54,-24.8,After 2000
1102,3546,100.52,43.44,After 2000
1103,3547,139.28,35.63,After 2000
1104,3548,148.95,-35.53,After 2000
1105,3549,-121.82,46.17,After 2000
1106,3549,-121.75,46.85,After 2000
1107,3549,-122.9,47.04,After 2000
1108,3551,-86.83,40.5,After 2000
1109,3551,-86.77,40.61,After 2000
1110,3551,-86.58,41.12,After 2000
1111,3551,-85.38,41.33,After 2000
1112,3551,-85.25,41.68,After 2000
1113,3552,117.41,5.35,After 2000
1114,3553,78.94,29.55,After 2000
1115,3554,123,-18,After 2000
1116,3558,78.5,30.29,After 2000
1117,3559,57.1,23.3,After 2000
1118,3560,18.97,48.53,After 2000
1119,3560,19.19,49.07,After 2000
1120,3562,-71.72,-11.86,After 2000
1121,3563,-88.53,17.35,After 2000
1122,3564,-100.61,19.07,After 2000
1123,3565,-59.48,-1.8,After 2000
1124,3566,10.1,43.08,After 2000
1125,3567,47.42,-21.13,After 2000
1126,3567,-75.2,-10.49,After 2000
1127,3567,36.89,-7.84,After 2000
1128,3567,29.66,-1.08,After 2000
1129,3567,102.31,2.98,After 2000
1130,3567,-84.03,10.3,After 2000
1131,3567,104,18.32,After 2000
1132,3569,-6.5,37,After 2000
1133,3570,36.72,-7.77,After 2000
1134,3573,-105.82,39.63,After 2000
1135,3578,-113.79,46.06,After 2000
1136,3580,101.87,14.48,After 2000
1137,3581,152.51,-29.94,After 2000
1138,3581,152.71,-28.6,After 2000
1139,3581,153.29,-28.54,After 2000
1140,3581,152.73,-28.49,After 2000
1141,3581,153.36,-28.48,After 2000
1142,3581,152.45,-28.45,After 2000
1143,3581,153.17,-28.45,After 2000
1144,3581,152.99,-28.36,After 2000
1145,3581,152.44,-28.31,After 2000
1146,3582,117.69,5.1,After 2000
1147,3582,117.56,5.17,After 2000
1148,3584,-104.85,52.62,After 2000
1149,3585,146.93,-43.47,After 2000
1150,3585,147.4,-42.82,After 2000
1151,3585,147.78,-42.22,After 2000
1152,3586,119.25,29.37,After 2000
1153,3587,-69.5,-55.25,After 2000
1154,3588,-112.95,53.51,After 2000
1155,3590,-116,47,After 2000
1156,3591,98.2,10.83,After 2000
1157,3592,57.58,-20.25,After 2000
1158,3593,30.53,0.22,After 2000
1159,3594,-79.66,9.07,After 2000
1160,3596,-155.5,19.5,After 2000
1161,3597,100.9,22.12,After 2000
1162,3599,-122.05,37.41,After 2000
1163,3601,-5.25,43.25,After 2000
1164,3603,30.4,0.5,After 2000
1165,3605,94.58,20.2,After 2000
1166,3606,-12.78,8,After 2000
1167,3607,-53.72,-5.08,After 2000
1168,3609,84.33,27.5,After 2000
1169,3610,-2.62,51.49,After 2000
1170,3611,24.32,-29.17,After 2000
1171,3611,24.8,-28.64,After 2000
1172,3613,89.25,53.75,After 2000
1173,3617,-115.48,35.01,After 2000
1174,3618,-113.06,53.38,After 2000
1175,3620,-74.1,4.92,After 2000
1176,3621,-65.82,18.33,After 2000
1177,3622,77.42,32.62,After 2000
1178,3623,-124.17,43.7,After 2000
1179,3626,23.62,-19.52,After 2000
1180,3627,-94.82,35.67,After 2000
1181,3627,-94.81,36.03,After 2000
1182,3628,-41.99,-23,After 2000
1183,3629,119.25,29.37,After 2000
1184,3631,-35,-7,After 2000
1185,3632,84.33,27.5,After 2000
1186,3633,20.62,-33.52,After 2000
1187,3633,21,-33.25,After 2000
1188,3634,114.3,22.41,After 2000
1189,3634,114.12,22.42,After 2000
1190,3634,114.12,22.43,After 2000
1191,3635,35.19,-12.84,After 2000
1192,3635,35.25,-12.6,After 2000
1193,3635,35.33,-12.39,After 2000
1194,3637,8.15,48.3,After 2000
1195,3638,-47.08,-23.2,After 2000
1196,3639,35,-7.5,After 2000
1197,3639,34.57,-2.33,After 2000
1198,3640,-43.25,-22.96,After 2000
1199,3641,36.68,-7.8,After 2000
1200,3643,42.29,18.79,After 2000
1201,3643,41.95,19.1,After 2000
1202,3643,42.35,19.68,After 2000
1203,3643,40.78,20.91,After 2000
1204,3643,40.76,20.92,After 2000
1205,3643,40.78,20.92,After 2000
1206,3643,40.15,21.22,After 2000
1207,3643,40.53,23.15,After 2000
1208,3643,41.45,27.46,After 2000
1209,3644,31.69762615,40.19253254,After 2000
1210,3644,30.99225242,40.18112142,After 2000
1211,3644,31.70870548,40.21475599,After 2000
1212,3644,31.69930536,40.22268682,After 2000
1213,3644,31.71422446,40.17642059,After 2000
1214,3644,31.71760794,40.17824193,After 2000
1215,3644,31.71185952,40.1735384,After 2000
1216,3645,-96.87,18.17,After 2000
1217,3645,-96.92,18.23,After 2000
1218,3646,121.6,58.9,After 2000
1219,3646,121.8,59.08,After 2000
1220,3646,127.28,60.02,After 2000
1221,3646,128.57,61.02,After 2000
1222,3646,128.9,61.05,After 2000
1223,3647,-78.47,39.61,After 2000
1224,3651,-113.92,49.05,After 2000
1225,3651,-116.05,50.88,After 2000
1226,3651,-116.49,51.4,After 2000
1227,3651,-116,51.5,After 2000
1228,3651,-117.9,52.8,After 2000
1229,3652,-81.2,27.15,After 2000
1230,3654,-94.66,39.19,After 2000
1231,3656,-88.23,46.25,After 2000
1232,3657,136.75,35.43,After 2000
1233,3659,103,4.17,After 2000
1234,3660,32.02,-20.97,After 2000
1235,3663,49.54,-15.41,After 2000
1236,3663,50.05,-15.3,After 2000
1237,3664,-79.85,38.93,After 2000
1238,3666,-155.53,19.63,After 2000
1239,3667,-81.67,33.25,After 2000
1240,3668,20.35,-2.78,After 2000
1241,3668,9.48,-2.09,After 2000
1242,3668,21,-2,After 2000
1243,3668,22.98,0.42,After 2000
1244,3668,30.46,0.52,After 2000
1245,3668,9.95,2.24,After 2000
1246,3668,13.15,3.42,After 2000
1247,3668,24.69,4.32,After 2000
1248,3668,-7.73,5.41,After 2000
1249,3668,-7.29,5.84,After 2000
1250,3668,9.04,6.26,After 2000
1251,3668,11.7,7.56,After 2000
1252,3668,-11.2,11.68,After 2000
1253,3668,-12.29,13.18,After 2000
1254,3672,75.4,36.59,After 2000
1255,3673,36.68,-7.8,After 2000
1256,3674,104.33,-5.43,After 2000
1257,3674,101.48,-2.42,After 2000
1258,3674,97.5,3.5,After 2000
1259,3675,136.93,-30.38,After 2000
1260,3676,139.73,35.68,After 2000
1261,3677,-4,40.5,After 2000
1262,3678,114.37,-7.83,After 2000
1263,3679,-116,47,After 2000
1264,3682,35.1,-18.9,After 2000
1265,3683,-96.58,17.18,After 2000
1266,3684,2.16,48.01,After 2000
1267,3685,140.1,35.98,After 2000
1268,3690,28.25,61.25,After 2000
1269,3692,-71.72,-11.86,After 2000
1270,3692,-51.47,-1.73,After 2000
1271,3692,-76.4,-0.67,After 2000
1272,3692,-56.19,4.74,After 2000
1273,3693,-116,51.5,After 2000
1274,3695,-118.17,37.5,After 2000
1275,3695,-119.34,38.6,After 2000
1276,3698,-112.17,37.63,After 2000
1277,3699,-47.06,-23.19,After 2000
1278,3700,34.68,42.02,After 2000
1279,3701,11.24,32.71,After 2000
1280,3702,103.23,14,After 2000
1281,3703,105.92,14.52,After 2000
1282,3704,19.91,49.26,After 2000
1283,3707,-80.43,34.99,After 2000
1284,3709,-79.85,9.17,After 2000
1285,3710,-118.37,56.77,After 2000
1286,3711,17.95,-30.17,After 2000
1287,3712,-81.03,25.86,After 2000
1288,3712,-81.38,26.17,After 2000
1289,3712,-81.27,26.23,After 2000
1290,3713,4.63,52.55,After 2000
1291,3716,116.25,-32.39,After 2000
1292,3716,116.31,-32.24,After 2000
1293,3716,116.13,-32.24,After 2000
1294,3716,116.35,-32.21,After 2000
1295,3718,-7.12,5.75,After 2000
1296,3720,-52.38,-13.07,After 2000
1297,3721,-41.87,-9.73,After 2000
1298,3722,-85.78,10.88,After 2000
1299,3724,46.95,-16.15,After 2000
1300,3726,34.566667,-2.333333,After 2000
1301,3727,150.133333,-34.62,After 2000
1302,3728,36,-3.5,After 2000
1303,3730,-76.17,-0.62,After 2000
1304,3733,21.63,53.82,After 2000
1305,3735,127.97,41.75,After 2000
1306,3736,-71.9,-42.81,After 2000
1307,3737,-97.78,20.39,After 2000
1308,3739,141.06,-33.15,After 2000
1309,3741,-45.41,-23.62,After 2000
1310,3745,140.2,-28.12,After 2000
1311,3746,-81.78,41.43,After 2000
1312,3747,130.56,43.76,After 2000
1313,3748,30.19,-31.08,After 2000
1314,3748,30.8,-30.2,After 2000
1315,3749,-6.5,37,After 2000
1316,3749,-3,37.9,After 2000
1317,3749,-3.83,38.37,After 2000
1318,3749,-4.49,39.38,After 2000
1319,3749,0.84,42.72,After 2000
1320,3749,-5,43,After 2000
1321,3750,-117.9,52.8,After 2000
1322,3750,-117.44,53,After 2000
1323,3752,14.62,48.56,After 2000
1324,3753,12.65,52.49,After 2000
1325,3754,-88.61,16.79,After 2000
1326,3754,-88.91,16.97,After 2000
1327,3754,-88.69,17.08,After 2000
1328,3754,-89.04,17.56,After 2000
1329,3754,-88.81,17.69,After 2000
1330,3755,13.39,41.85,After 2000
1331,3755,14.32,41.93,After 2000
1332,3755,13.95,41.97,After 2000
1333,3755,14.06,42.08,After 2000
1334,3755,13.97,42.58,After 2000
1335,3755,13.758764,42.561289,After 2000
1336,3756,14.83,45.42,After 2000
1337,3757,75.83,32.5,After 2000
1338,3759,-114.83,30.36,After 2000
1339,3760,88.11,26.99,After 2000
1340,3761,128.13,-15.9,After 2000
1341,3762,-7.65,37.7,After 2000
1342,3766,131.37,43.38,After 2000
1343,3767,122.88,51.33,After 2000
1344,3768,44.48,41.37,After 2000
1345,3769,-50.77,-18.48,After 2000
1346,3769,-50.75,-18.47,After 2000
1347,3769,-50.77,-18.47,After 2000
1348,3769,-51.13,-18.25,After 2000
1349,3769,-51.15,-18.25,After 2000
1350,3769,-51.17,-18.23,After 2000
1351,3770,-41.06,-9.93,After 2000
1352,3772,81.29,17.49,After 2000
1353,3773,14.2,46.29,After 2000
1354,3774,-54.22,-21.91,After 2000
1355,3774,-54.22,-21.69,After 2000
1356,3775,-97.27,19.03,After 2000
1357,3778,88.13,27.7,After 2000
1358,3780,-46.25,-21.25,After 2000
1359,3781,118.92,43.98,After 2000
1360,3782,101.88,29.6,After 2000
1361,3783,-48.09,-17.68,After 2000
1362,3785,101.33,5.5,After 2000
1363,3788,-87.1,21.6,After 2000
1364,3789,-69.69,45.71,After 2000
1365,3789,-69.16,45.92,After 2000
1366,3789,-68.73,46.25,After 2000
1367,3790,127.28,60.02,After 2000
1368,3790,128.57,61.02,After 2000
1369,3790,128.9,61.05,After 2000
1370,3791,-40.28,-20.27,After 2000
1371,3792,-7.05,4.6,After 2000
1372,3794,113.83,-2.55,After 2000
1373,3795,92.12,27.15,After 2000
1374,3797,-41.87,-10.05,After 2000
1375,3800,-87.75,21.6,After 2000
1376,3803,-40.56,-19.91,After 2000
1377,3804,-43.18,-22.92,After 2000
1378,3805,-47.8,-21.54,After 2000
1379,3808,77.43,25.5,After 2000
1380,3809,116.03,6.02,After 2000
1381,3810,36.57,28.4,After 2000
1382,3810,35.7,28.67,After 2000
1383,3812,-49.47,-27.04,After 2000
1384,3815,92.82,27.1,After 2000
1385,3815,92.4,27.1,After 2000
1386,3816,101.93,14.51,After 2000
1387,3817,101.67,6.63,After 2000
1388,3817,101.2,6.85,After 2000
1391,3817,100.07,13.02,After 2000
1392,3817,100.08,13.03,After 2000
1394,3817,100.32,13.5,After 2000
1395,3817,100.42,13.52,After 2000
1396,3817,100.28,16.88,After 2000
1389,3817,100.43,7.25,After 2000
1390,3817,100.47,7.25,After 2000
1393,3817,100.32,13.48,After 2000
1397,3818,113.83,-2.55,After 2000
1398,3819,84.33,27.47,After 2000
1399,3820,89.58,26.65,After 2000
1400,3821,80.8,6.8,After 2000
1401,3825,55,27,After 2000
1402,3827,-40.53,-19.95,After 2000
1403,3828,82.3,28.12,After 2000
1404,3829,82.34,16.83,After 2000
1405,3830,116.47,5.93,After 2000
1406,3832,118.23,29.17,After 2000
1407,3834,80.23,28.84,After 2000
1408,3838,-90.12,45.56,After 2000
1409,3840,116.9,4.83,After 2000
1410,3842,-98.17,19.11,After 2000
1411,3844,36.9,0.29,After 2000
1412,3845,9.57,-2.17,After 2000
1413,3851,22.11,-18.58,After 2000
1414,3853,56.38,37.55,After 2000
1415,3854,104.05,13.01,After 2000
1416,3855,-92.6,15.5,After 2000
1417,3856,-5,37,After 2000
1418,3856,-5,43,After 2000
1419,3857,117.95,5.87,After 2000
1420,3858,-51.65,-18.93,After 2000
1421,3858,-51.71,-18.93,After 2000
1422,3859,-97.21,18.23,After 2000
1423,3860,31.78,2.19,After 2000
1424,3861,-54.26,-25.93,After 2000
1425,3863,86.73,27.93,After 2000
1426,3863,83.97,28.78,After 2000
1427,3865,106.22,14.18,After 2000
1428,3865,106.45,14.28,After 2000
1429,3869,41.32,-1.85,After 2000
1430,3869,41.07,-1.82,After 2000
1431,3869,41.33,-1.54,After 2000
1432,3872,-36.23,-6.47,After 2000
1433,3872,-38.43,-6.42,After 2000
1434,3872,-38,-6.25,After 2000
1435,3872,-36.37,-6.22,After 2000
1436,3872,-36.58,-6.17,After 2000
1437,3872,-38,-6,After 2000
1438,3872,-36.28,-5.95,After 2000
1439,3872,-37.72,-5.63,After 2000
1440,3872,-36.17,-5.22,After 2000
1441,3872,-36.92,-5.02,After 2000
1442,3873,-63.41,-24.28,After 2000
1443,3873,-63.21,-24.18,After 2000
1444,3873,-63.61,-24.13,After 2000
1445,3873,-63.49,-24.13,After 2000
1446,3873,-63.39,-24.09,After 2000
1447,3876,-83.58,8.55,After 2000
1448,3877,105.33,-6.75,After 2000
1449,3878,-80.83,46.34,After 2000
1450,3879,-94.93,18.38,After 2000
1451,3879,-96.57,19.84,After 2000
1452,3880,-70.96,-12.73,After 2000
1453,3880,-71.72,-11.86,After 2000
1454,3880,-71.52,-10.37,After 2000
1455,3889,35.67,-1.5,After 2000
1456,3890,13,3.15,After 2000
1457,3891,14.02,-2.19,After 2000
1458,3892,36,-1.25,After 2000
1459,3893,31.78,2.19,After 2000
1460,3894,25.87,-18.38,After 2000
1461,3894,25.69,-17.96,After 2000
1462,3895,20.83,-18.83,After 2000
1463,3896,14.93,0.8,After 2000
1464,3897,18.88,-33.18,After 2000
1465,3898,37.47,-0.11,After 2000
1466,3899,34.5,-18.82,After 2000
1467,3900,34.57,-2.33,After 2000
1468,3902,24,-30.87,After 2000
1469,3903,-90.66,46.97,After 2000
1470,3904,102,3.16,After 2000
1471,3905,-78.35,38.53,After 2000
1472,3907,-88.67,37.5,After 2000
1473,3908,130.73,42.83,After 2000
1474,3909,49.54,-15.41,After 2000
1475,3909,50.05,-15.3,After 2000
1476,3911,151.64,-30.49,After 2000
1477,3913,47.42,-21.22,After 2000
1478,3919,24,60,After 2000
1479,3920,-47.47,-23.37,After 2000
1480,3921,91.78,39.05,After 2000
