item_id,lon,lat
"5499",26.51,-33.14
"5801",26.68,-33.29
"5225",25.75,-33.45
"5628",21.89,-33.67
"4539",20.05,-33.6
"5800",21.65,-33.65
"4646",19.17,-34.22
"5034",18.92,-34.14
"4030",19.08,-32.33
"5034",19.08,-32.36
"5034",18.87,-34.05
"5611",23.25,-34
"4646",18.98,-34.32
"3633",20.62,-33.52
"5511",18.33,-34.15
"5034",20.55,-34.03
"6863",21.03,-33.95
"3338",19.38,-32.32
"1934",18.65,-33.99
"5502",19.28,-34.39
"4682",19.31,-34.39
"5034",18.5,-32.67
"3897",18.88,-33.18
"5034",18.49,-32.68
"186",18.43,-33.97
"2846",19.42,-32.45
"4539",20.39,-33.34
"3338",19.43,-32.52
"6416",18.42,-33.63
"5034",20.55,-34.4
"6151",21.55,40.6
"3983",13.53,45.83
"5061",18.25,-33.39
"4620",19.88,-34.57
"3201",-116.68,33.81
"5078",-116.8,34.31
"5078",-116.82,34.34
"6856",-116.97,34.28
"7453",-121.75,40.12
"4139",-1.93,42.56
"7569",-116.58,33.11
"6426",13.05,41.96
"6281",-116.57,32.93
"6281",-116.8,33.3
"7569",-116.7,33.1
"4957",11.98,43.47
"3755",13.758764,42.561289
"6769",11.07,43.22
"6792",10.84,44.14
"3192",12.58,43.28
"6835",35.77,34.06
"5576",11.21,43.19
"4759",10.05,44.53
"4753",11,43.08
"6857",10.98,43.07
"973",-116.77,33.02
"1033",-5.27,40.25
"7072",35.98,34.31
"6147",36,34.32
"4933",36.17,36.43
"3755",13.97,42.58
"5796",14.42,42.16
"4095",-1.53,42.2
"1808",-1.47,42.19
"498",-116.86,33
"2433",-6.35,42.02
"6254",-6.66,41.71
"6023",15.47,40.28
"2791",-117.65,33.9
"4660",-4.56,40.71
"4660",-4.5,40.74
"4724",35.05,32.73
"498",-117.04,32.92
"498",-117.02,33.02
"6079",16.44,43.59
"498",-116.95,33.03
"3404",-116.87,32.68
"498",-116.85,32.69
"498",-116.94,32.91
"498",-116.82,32.67
"498",-117.12,33.08
"6996",-6.95,40.25
"498",-117.11,32.98
"498",-116.86,32.83
"498",-117.06,32.82
"498",-117.13,32.94
"7224",-121.09,38.54
"498",-117.16,32.95
"498",-117.21,32.94
"3398",-117.11,32.6
"3222",-117.2,33.02
"4724",35.01,32.56
"7224",-122.15,38.49
"7170",-6.9,40.15
"3197",-122.5,38.37
"5170",-119.79,35.19
"7224",-122.04,38.55
"1556",-122,38.8
"2336",-122.7,38.73
"3979",34.99,32.56
"3335",-4,40.5
"5783",-117.78,33.6
"3599",-122.05,37.41
"2260",-118.5,34.35
"4835",-122.28,37.9
"7051",1.97,41.64
"3979",34.97,32.53
"7224",-122.36,38.84
"974",-118.07,33.74
"3464",-122.1,37.6
"1897",2.47,41.62
"3979",34.95,32.55
"3986",-6.03,39.84
"5686",-7.17,39.63
"4062",1.27,41.59
"4665",-121.85,37.12
"1696",-5.94,39.81
"6833",30.666667,37.333333
"7018",29.85,36.52
"4062",1.25,41.54
"6100",29.82,36.52
"4062",1.29,41.52
"178",-122.23,37.41
"2056",-121.6,37.5
"3502",-121.69,36.61
"7224",-121.71,36.63
"6838",2.1,41.45
"3502",-121.78,36.68
"7389",-119.27,34.41
"2827",-121.74,37.38
"7224",-121.85,36.45
"6663",-4.03,38.29
