item_id,lon,lat
"5152",-41.96,-20
"140",-80,9
"656",-79.64,8.94
"1180",-43.29,-22.95
"3803",-40.56,-19.91
"6173",-51.583333,-0.916667
"3827",-40.53,-19.95
"3668",13.15,3.42
"3804",-43.18,-22.92
"4091",-41.92,-19.97
"136",-79.85,9.15
"2401",-46.94,-23.23
"6409",-83.97,10.16
"4064",-41.93,-19.96
"3224",-75.62,6.06
"4359",-46.52,-23.49
"5900",-47.47,-22.37
"4455",117.18,5.28
"2736",-52.22,-4.48
"1110",-79.85,9.17
"4357",-47.63,-22.7
"898",-75.64,6.06
"4466",116.97,5.08
"3221",-83.61,10.08
"3415",-84.02,10.42
"4064",-41.21,-19.21
"4398",117.43,5.07
"5812",115.33,3.59
"3221",-83.62,10
"3780",-46.25,-21.25
"1686",36.87,-7.75
"273",98.7,25.08
"1181",117.22,5.44
"2457",-84,10.43
"3379",-83.57,9.37
"6192",101.37,6.02
"3954",117.49,5.22
"236",117.24,5.41
"4467",-42.6,-19.75
"5767",101.25,5.92
"5460",-80.96,8.62
"4061",10.5,2.5
"236",117.41,5.35
"3379",-83.58,9.4
"944",117.04,5.03
"656",-80.42,8.65
"4200",117,5
"7145",-83.98,10.43
"5590",117.42,5.33
"2117",117.69,5.1
"5320",-62.94,-9.21
"214",15.75,2.25
"5659",-47,-23.06
"4671",101.07,3.67
"6559",-41.87,-21.48
"2280",-42.67,-20.55
"7125",-40.52,-20.28
"4360",-47.42,-21.82
"5447",-41.86,-21.49
"5152",-42.52,-19.48
"4398",117.65,5.12
"4455",117.38,5.33
"3962",-40.32,-19.1
"4466",117.73,5.02
"214",16.45,2.47
"4505",-47.06,-23.38
"2117",117.56,5.17
"3920",-47.47,-23.37
"3638",-47.08,-23.2
"5089",-42.54,-19.65
"5492",103.27,2.44
"4091",-42.53,-19.66
"4455",117.32,5.23
"5590",117.33,5.23
"7404",-41.9,-21.87
"3379",-83.62,9.3
"7332",-62.73,-9
"3699",-47.06,-23.19
"6734",117.76,5.08
"3840",116.9,4.83
"4564",-40.1,-18.97
"3214",116.84,4.85
"5460",-79.5,9.4
"4064",-42.39,-19.36
"4360",-47.48,-21.73
"656",-81.07,8.51
"4792",-40.12,-19.01
"7717",102.61,5.59
"5020",-40.13,-19.01
"7235",103.16,20.23
"6486",-40.08,-19.15
"4287",116.95,4.77
"5377",-40.07,-19.15
"5273",99.23,15.42
"5020",-40.07,-19.12
"6187",97.6,3.68
"4358",-47.79,-24.12
"109",102.6,2.37
"5969",98.25,3.3
"6821",-44.61,-20.45
"4396",99.25,15.42
"5358",117.69,4.96
"4398",116.88,4.78
"5893",-45.09,-23.32
"656",-82.54,8.81
"5117",-40.4,-18.05
"2234",116.94,4.73
"6456",-47.95,-24.13
"3522",-78.1,9.2
"7333",-41.68,-21.75
"2116",16.6,2.52
"1181",115.57,5.07
"5900",-45.23,-23.43
"7550",103.1,4.93
"6188",103.4,2.4
"7235",103.45,20.22
"1773",-73.85,7.06
"2278",-78.34,9.3
"2234",115.22,3.3
"3515",-43.5,-18.8
"4377",-45,-21.25
"810",103.66,2.21
"2278",-78.45,8.79
"2282",-48.52,-22.3
"7573",117.8,4.96
"6610",-78.68,0.58
"6725",103.3,20
"6757",-45.43,-23.6
"2116",36.89,-7.84
"3072",117.81,4.96
"7717",97.16,3.74
"656",-80.12,9.15
"3674",97.5,3.5
"5011",117.84,5.49
"3668",-7.29,5.84
"4709",-84.51,10.19
"4093",117.67,4.92
"5717",-82.4,8.62
"613",-82.94,9.41
"1181",117.88,4.96
"829",99.29,15.54
"2907",-40.53,-20.53
"5310",-73.71,7.38
"7235",103.53,20.5
"4466",114.23,3.77
"7557",35.83,-8.33
"2710",103.64,20.46
"5033",-43.76,-17.81
"6466",99.38,0.98
"2142",37.67,-7.17
"3896",14.93,0.8
"4462",98.42,24.66
"7457",114.22,3.77
"5320",-48.41,-24.27
"7235",103.16,20.46
"3468",-83.58,9.47
"656",-79.65,9.55
"4617",115,3.18
"4716",-83.97,9.89
"5969",101.29,-1.7
"2275",-40,-16.3
"2736",-53.27,-5.12
"278",97.93,24.72
"4200",118,5
"2746",-83.55,9.81
"4709",-84.6,10.22
"7235",103.5,19.86
"5729",100.78,-0.15
"3674",101.48,-2.42
"2142",37,-6.47
"3522",-81.73,8.77
"4618",-46.65,-23.97
"613",-83.42,9.94
"4101",9.98,2.35
"2760",-53.72,-5.08
"5358",117.92,5.55
"5793",-83.46,9.97
"6544",99.32,15.61
"656",-80.64,8.86
"4592",117,4.5
"2907",-40.43,-20.55
"5056",98.92,15.33
"5812",114.67,2.94
"4093",117.92,5.88
"3668",9.95,2.24
"6354",-76.6,5.68
"6810",-39.1,-16.3
"3857",117.95,5.87
"4093",117.87,5.84
"5732",-82.96,8.79
"2116",104.17,-5.25
"3470",117.27,4.55
"5732",-82.95,8.75
"3213",103.87,1.83
"3218",103.86,1.81
"3718",-7.12,5.75
"3964",-84.71,10.47
"236",117.81,5.72
"3941",101.88,6.1
"4061",12.5,0.5
"262",100.84,22.02
"6390",117.57,4.7
"5812",115.5,3.2
"2746",-83.72,9.93
"4200",116,4
"5251",-75.15,8.3
"2736",-53.68,-5.27
"2746",-83.66,9.88
"1003",-83.07,8.95
"6951",102.97,18.74
"656",-81.61,8.86
"3597",100.9,22.12
"5798",-78.61,0.12
"251",-84,10
"4398",116.57,4.37
"5460",-80.5,9.06
"437",118.04,5.41
"2502",-77.8,0.05
"4582",-42,-18
"4592",96,5
"4093",118.65,5.27
"319",101.55,16.34
"99",104.33,-5.43
"1181",117.3,6.24
"4307",101.3,21.89
"6231",-47.8,-24.61
"4398",118.7,5.23
"4735",118.78,5.36
"5908",99.18,14.8
"5896",-78.206944,8.019722
"1181",118.72,5.21
"6200",-39.08,-15.07
"5812",113.92,2.45
"6491",100.94,-0.15
"5480",117.9,5.3
"6771",118.49,5.17
"5104",-84.7,10.9
"7441",114.68,4.59
"4289",-78,0.8
"4466",112.3,1.66
"244",-78.33,-1.83
"5883",118.34,5.6
"7159",118.36,5.65
"6365",118.36,5.67
"4500",-96.03,17.25
"7054",-82.85,9.65
"4030",102.5,-1
"2352",-49.7,-22.4
"4110",98.48,16.37
"5141",10.86,1.6
"4760",104.96,21.11
"2353",-49.72,-22.37
"6397",-87.9,14.84
"4093",117.9,4.4
"5651",-96.29,17.35
"5358",117.89,4.4
"4269",112.17,1.52
"6419",-96.08,17.33
"2234",113.69,2.23
"5428",97.74,18.21
"3142",116.47,4.23
"1181",117.4,6.41
"4678",-39.05,-14.43
"4592",107.5,16
"4466",114.06,4.18
"5900",-47.73,-24.73
"4592",114,2
"4602",-82.87,8.96
"4269",113.05,2.27
"1760",112.85,2.39
"7447",114.03,4.21
"6291",-50.17,-6.06
"4268",110.22,1.12
"6617",-94.22,17.15
"3127",101.6,-0.08
"5812",114.17,2
"6879",-94.77,16.94
"5144",101.87,-0.3
"6192",101.78,16.87
"3082",107.03,16.2
"790",-48.1,-25.05
"4897",-89.15,15.13
"5461",-94.23,17.16
"5369",-94.35,17.15
"1162",107.45,15.95
"6585",-48.3,-25.18
"5961",107,16.17
"5208",-96.1,17.45
"4816",99.93,21.13
"6192",99.42,13.3
"5504",-94.33,17.17
"656",-82.09,8.31
"5130",-94.36,17.16
"2116",8.85,5.07
"7265",-83.48,9.48
"6397",-87.1,14.21
"4199",-39.22,-13.78
"7214",113.09,2.77
"1760",112.83,2.59
"7457",113.65,1.63
"5827",-96.13,17.49
"4086",-48.63,-18.35
"5252",117.49,4.41
"4954",-91.02,16.35
"6491",101.9,-0.9
"3947",100.42,24.75
"7265",-82.83,8.97
"4466",111.15,1.43
"5799",103.3,-2.23
"4036",111.36,1.53
"4101",8.83,5.08
"2762",99.01,22.08
"3447",-88.26,15.54
"3567",104,18.32
"5812",113.35,1.22
"4679",100.53,22.07
"4156",-91.5,16.83
"4289",-77.96,0.11
"4111",-82.7,9.62
"2350",12.63,0.09
"6245",-90.83,16.2
"5729",102.48,0.12
"4592",107,16
"6192",99.73,8.5
"6633",95.59,5.33
