item_id,lon,lat
"6034",-5.72,-15.97
"1975",-59.87,2.81
"2425",30.08,-0.14
"3892",36,-1.25
"2213",36.67,0.08
"3053",37,0
"4661",36.93,0
"774",38.5,-4.75
"4778",-73.25,3.77
"5878",-73.45,3.57
"1047",-73.33,3.83
"2142",37.6,-2.13
"4645",-55.73,0.63
"775",37.75,-4
"3728",36,-3.5
"3593",30.53,0.22
"1678",35.68,-3.08
"7147",35.46,-3.21
"89",-41.79,-20.43
"3929",37.42,0.2
"2115",36.9,0.29
"6875",36.9,0.3
"6660",36,-3.83
"5554",-72.08,4.31
"5522",36.91,0.32
"5055",-68.21,8.98
"2507",33.12,0.4
"4741",-71.85,4.03
"2399",-71.83,4.03
"4910",-71.82,4.02
"4910",-71.82,4.01
"1381",38.75,-3.56
"5612",37.44,0.23
"1516",33,0.41
"7482",33.02,0.4
"3860",31.78,2.19
"791",-68.3,8.67
"6241",38.81,-3.66
"237",30.97,-0.63
"4387",-69.07,5.85
"7468",-44.02,-19.48
"1686",36.5,-7.86
"1678",34.57,-2.33
"3726",34.566667,-2.333333
"1190",36.7,-7.74
"7650",-43.5,-20.13
"95",-66,8
"212",36.68,-7.8
"4730",-44.16,-19.78
"1187",36.71,-7.77
"2751",36.72,-7.77
"4904",-45,-20
"5033",-43.34,-18.17
"4637",33.9,0.29
"2057",34.75,-2.92
"6443",33.58,-9.05
"5465",-44.98,-21.33
"1686",36.95,-7.84
"7147",31.52,-1.11
"2506",-47.87,-21.74
"2142",36.87,-6.26
"6162",-47.63,-21.63
"6959",-71.67,4.83
"5310",-71.3,5.96
"3639",35,-7.5
"4762",36.25,-7.25
"4071",-47.82,-21.67
"4882",35.85,-7.65
"2506",-47.58,-21.52
"1678",34.59,-3.28
"4071",-47.79,-21.61
"5282",31.5,-13
"6441",29.57,-15.6
"4360",-47.67,-21.5
"4951",-47.87,-21.58
"3805",-47.8,-21.54
"5339",-47.83,-21.5
"2142",37.3,-7.4
"4360",-49.17,-22.77
