item_id,lon,lat
"2808",173.72,-41.13
"2808",173.82,-41.1
"6639",88.12,27.19
"5963",88.12,27.2
"7118",97.71,27.5
"4456",88,27
"6362",96.38,27.48
"190",103.61,31
"4103",103.72,31.07
"6628",107.62,33.65
"3518",107.28,33.77
"5108",107.81,33.66
"4939",89.67,26.75
"4693",107.85,33.58
"7096",104.6,32.53
"6628",104.72,32.51
"4915",104.76,32.58
"6882",104.8,32.59
"4117",89.5,27
"3541",107.13,33.13
"6669",85.39,27.8
"3220",90.76,26.9
"6527",80.34,29.77
"4603",110.34,31.43
"863",110.33,31.52
"5668",153.02,-28.41
"4343",96,28.25
"5168",119.09,30.3
"3815",92.4,27.1
"3581",152.99,-28.36
"3581",152.73,-28.49
"5681",92.86,27.08
"6815",13.55,46.33
"5668",153.13,-28.46
"3815",92.82,27.1
"3983",13.64,46.18
"3832",118.23,29.17
"3581",152.71,-28.6
"6955",14.33,45.92
"3773",14.2,46.29
"3983",13.58,46.13
"3586",119.25,29.37
"5668",153.32,-28.34
"5195",23.42,41.74
"2764",23.5,41.67
"3581",153.17,-28.45
"4647",152.6,-28.47
"4491",24.57,41.6
"6650",153.52,-28.4
"5668",153.32,-28.39
"4426",23.17,41.8
"3581",153.36,-28.48
"3756",14.83,45.42
"3581",153.29,-28.54
"5668",153.38,-28.6
"5668",153.31,-28.43
"5321",21,41.8
"5668",153.39,-28.61
"6650",153.5,-28.47
"5668",153.19,-28.44
"5668",153.4,-28.62
"5668",153.3,-28.61
"5631",14.97,44.8
"3983",12.94,46.23
"5194",23.98,41.94
"4647",152.48,-28.55
"3581",152.45,-28.45
"4647",152.62,-29.12
"3983",13.07,46.28
"4651",153.26,-28.24
"2764",23.25,42.55
"6761",22.43,44.86
"209",25,43.25
"5632",15.01,44.69
"3560",18.97,48.53
"6079",15.27,45.37
"267",153.27,-28.21
"6724",22.64,42.21
"3581",152.44,-28.31
"7335",46.4,39.02
"4010",153.52,-28.58
"11",25.45,45.76
"6174",83.81,28.79
"6898",5.97,45.82
"5902",26.67,42.93
"4427",22.52,42.16
"6079",15.4,44.7
"26",46.47,38.96
"2077",0.833333,42.716667
"3749",0.84,42.72
"5956",6.25,46.67
"913",153.13,-28.03
"11",26.66,45.91
"4327",1.02,42.43
"6079",15.44,44.63
"5545",152.95,-27.26
"5668",153.25,-29.34
"2797",153.08,-30.01
"235",15.23,44.53
"3581",152.51,-29.94
"4619",17.91,47.09
"5521",153,-30.13
"6823",153.03,-30.16
"7361",6.07,46.16
"6650",153,-27.63
"5545",153.01,-27.25
"4619",17.89,46.96
"4619",17.87,47.08
"5324",153.07,-30.27
"4619",17.69,47.11
"6976",116.53,29.7
"6823",152.44,-30.15
"7",152.44,-30.16
"7639",-2.68,42.83
"3749",-5,43
"6286",153.12,-30.3
"6823",153.116667,-30.3
"5500",153.12,-30.31
"4059",-4.901667,42.998333
"5545",153.2,-27.52
"5545",153.17,-27.56
"4498",7.75,47.45
"6720",132.5,43.65
"1751",8.57,47.39
"1740",12.92,46.05
"5324",152.23,-29.96
"6391",132.5,43.6
"4337",8.55,47.37
"3755",14.06,42.08
"3601",-5.25,43.25
"5265",39.63,51.92
"5602",131.31,43.56
"6590",153.04,-30.47
"3766",131.37,43.38
"4414",22.67,51
"5607",13.63,48.97
"7712",-83.52,35.6
"3755",13.95,41.97
"5213",13.6,49.12
"2077",-6.183333,43.116667
"7",152.25,-30.88
"5521",152.24,-30.89
"1955",-83.27,35.5
"3747",130.56,43.76
"6971",7.82,47.73
"5536",131.5,43.08
"382",152.23,-31.2
"4647",152.7,-31.32
"1452",153.07,-26.65
"4193",13.38,48.97
"3755",14.32,41.93
"4107",8.2,47.2
"3755",13.39,41.85
"6887",7.97,47.8
"6900",17,49.38
"6116",133.4,43.23
"7055",14,48.73
"3752",14.62,48.56
"3768",44.48,41.37
"4510",-84,36
"3938",131.42,43
"6116",134.27,43.58
"7677",9,47.75
"5094",-82.14,36.09
"804",-82.11,36.1
"5112",152.01,-31
"382",151.49,-32.05
"2202",8.15,48.3
"5873",23.83,52.75
"5876",23.63,53
"5876",23.72,52.98
"5876",23.87,52.69
"1205",153.03,-26.21
"3958",23.88,52.75
"6453",9.5,45.62
"5545",153.29,-27.58
"4957",11.92,43.63
"4267",11.82,43.8
"2595",151.7,-31.7
"7029",-80.52,37.38
"5624",11.78,43.87
"4420",11.74,43.96
"6071",-6.7,43.02
"3757",75.83,32.5
"4258",48.71,38.63
"4238",-82.45,35.27
"5841",8.86,49.03
"5329",42.61,40.3
"5125",-79.95,37.39
"6482",41.54,40.83
"2141",153.09,-25.91
"5524",10.63,51.75
"760",-79.85,38.93
"4707",48.75,36.92
"4639",7.58,48.52
"189",130.73,42.833333
"3908",130.73,42.83
"3684",2.16,48.01
"5325",29.98,51.65
"545",4.78,49.45
"6399",41.31,41.31
"3647",-78.47,39.61
"247",-81.06,36.4
"7006",17.06,43.31
"2833",21.83,52.15
"2833",22.08,52.17
"545",5.05,49.46
"1940",30.1,51.39
"4781",129.48,42.86
"5959",16,49.47
"7426",-7.32,42.13
"7181",8.37,49.63
"7181",7.52,49.98
"11",27.64,45.55
"5051",8.96,49.32
"5051",8.97,49.32
"5051",8.99,49.31
"1904",21.02,52.23
"5051",8.98,49.34
"5051",8.99,49.33
"4668",-79,38.5
"5412",10.82,45.38
"5051",8.99,49.34
"5051",9.01,49.33
"5051",9,49.34
"7488",-7.33,42.18
"5051",9.03,49.34
"5051",9.04,49.34
"4430",40.25,55.57
"5051",9.04,49.35
"794",20.57,52.32
"4825",32.98,56.46
"890",-0.97,45.95
"7075",47.7,36.48
"6399",41.07,41.07
"4367",32.48,56.43
"5348",9.48,45.18
"4234",-82.81,34.69
"5730",8.5,45
"3627",-94.81,36.03
"75",-78,40
"5125",-81.75,35.56
"635",-79,38
"4381",23.05,54
"7255",-95.17,47.19
"7418",-95.21,47.24
"4063",16.55,53.4
"1462",31.24,40.95
"4216",30.53,41.1
"1826",-90.16,44.33
"5125",-78.7,38.3
"3498",-82.35,38.31
"2327",-78.15,38.93
"5125",-84.49,36.13
"3753",12.65,52.49
"5915",-93.11,47.41
"5125",-84.5,36.13
"4553",-78.16,38.89
"5721",-85.19,34.3
"6139",-85.19,34.29
"5125",-77.73,39.32
"5125",-84.55,36.07
"7058",32.37,41.2
"3733",21.63,53.82
"4065",130.235556,42.54
"3627",-94.82,35.67
"3452",-94.2,35.27
"3925",-71,44.5
"4881",-71.4,44.1
"5915",-93.56,47.72
"6989",-72.7,44
"7347",-79.43,39.83
"7497",-73.94,41.8
"7497",-72.54,43.63
"4673",9.73,52.38
"7497",-72.37,43.5
"7452",-90.29,37.41
"5263",-8.16,41.73
"7452",-90.14,37.53
"7452",-90.22,37.46
"5797",-89.86,44.7
"246",-73.89,42.01
"5913",-94.35,46.09
"7347",-79.42,39.57
"6376",-84.85,36.08
"4908",136.33,45.03
"4482",75.04,34.14
"2875",-74.51,41.19
"3905",-78.35,38.53
"1039",150.46,-33.6
"5797",-90.16,44.04
"4889",135.8,44.77
"248",-73.4,43.55
"248",-73.54,43.46
"1200",-73.18,42.89
"2758",-74.33,44
"5125",-85.35,35.66
"6279",40.15,40.15
"7347",-78.25,41.58
"7497",-73.65,43.01
"7704",-73.07,43.95
"5125",-77.49,39.48
"4225",-76.45,42.46
"5913",-94.21,47.34
"5095",-76.5,42.45
"6501",-90.92,46.28
"6927",-84.22,37.7
"2112",-7.89,41.25
"5125",-77.47,39.63
"5125",-77.47,39.65
"1538",-84.26,37.68
"3498",-82.24,38.59
"3838",-90.12,45.56
"5797",-88.53,44.64
"6402",-73.88,42.77
"6705",-8.33,40.3
"7515",-73.86,42.72
"4393",150.73,-33.61
"5258",151.25,-33.61
"265",112.46,34.62
"1501",-84.25,33.78
"1039",151.25,-33.62
"580",116.09,40.07
"5219",112.12,35.25
"3907",-88.67,37.5
"5277",-91.28,37.19
"5394",-72.22,42.48
"6019",-91.27,36.5
"7300",12.84,53.44
"5805",-88.23,46.22
"4242",108.67,35.6
"5015",4.86,50.38
"3656",-88.23,46.25
"4888",127.72,41.7
"4018",52.79,29.71
"4623",-85.11,33.57
"4275",-83.49,33.39
"5015",4.83,50.38
"6811",-88.98,37.53
"4354",128.07,41.73
"4423",49.84,37
"7497",-74.47,40.8
"1654",115.82,40.5
"6122",-87.08,45.73
"4766",13.38,54.1
"4275",-83.52,33.23
"5125",-77.05,38.96
"3459",-89.67,46.17
"4144",-82.4,39.3
"3046",-74.47,40.71
"4994",-74.46,40.71
"261",127.97,41.75
"4229",-8.85,41.8
"3789",-69.69,45.71
"4247",150.76,-33.95
"3911",151.64,-30.49
"6811",-89.19,37.61
"7476",51.38,36.46
"5015",4.71,50.44
"401",7.3,51.98
"2893",-86.09,35.39
"3789",-69.16,45.92
"3878",-80.83,46.34
"5768",-86.96,40.43
"6753",-86.31,46.56
"6915",-86.1,46.25
"7323",-86.71,33.56
"7672",-86.5,38.85
"5859",138.3,35.67
"3551",-86.83,40.5
"5913",-92.88,48.5
"7355",51.41,35.41
"7130",-83,40
"5015",4.68,50.48
"4133",-83.01,40
"6952",115.98,39.97
"5859",138.3,35.82
"3254",-79.67,43.57
"5768",-87.04,40.44
"5768",-87.05,40.45
"225",139.01,35.75
"7391",139.83,36.92
"3551",-86.77,40.61
"5015",4.79,50.59
"171",151.29,-33.8
"331",-73.62,41.19
"1032",150.81,-35.05
"7497",-73.46,41.26
"6204",138.45,35.85
"5679",150.82,-35.05
"4144",-82,39.5
"5815",150.72,-34.98
"5015",4.69,50.54
"4667",-90.94,46.71
"1925",150.67,-34.96
"3184",-83.85,41.55
"3434",-80,43
"3551",-86.58,41.12
"3727",150.133333,-34.62
"5015",4.7,50.56
"5414",-86.3,38.2
"1826",-82.68,41.37
"1510",-82.7,41.45
"5070",-72.07,41.71
"6399",-81.4,41.32
"1320",-68.44,45.14
"3789",-68.73,46.25
"3135",150.84,-34.24
"5125",-77.38,38.59
"1039",151.06,-34.08
"2607",151.06,-34.07
"706",-83.79,41.62
"4586",138.85,35.45
"2880",150.95,-34.12
"7497",-71.32,42.46
"7325",150.02,-34.62
"2348",139.27,36.64
"6159",-78.4,45.8
"7497",-71.01,42.47
"2910",37.78,37.78
"755",-78.77,45.5
"5859",138.39,35.61
"6829",149.98,-37.18
"6206",-68.7,44.93
"3135",150.98,-34.17
"2880",150.99,-34.17
"707",-83.5,41.68
"7313",-69.52,46.61
"3503",-80.22,45.36
"4471",150.05,-35.87
"3055",-69.15,44.73
"5622",-69.14,44.73
"2054",-90.5,33.67
"3551",-85.38,41.33
"3926",-68.77,44.8
"5132",124.78,41.83
"1907",-74.01,40.71
"4834",-82.94,41.51
"3746",-81.78,41.43
"5859",138.4,35.61
"4584",-8.71,42.23
"6118",138.66,36.85
"7615",-85.32,42.3
"4676",6.241667,51.920556
"5134",117.52,40.44
"1196",-85.17,40.72
"1962",-85.3,42.54
"3164",-68.22,44.35
"3551",-85.25,41.68
"6399",-81.61,41.07
"6399",-81.62,41.07
"6399",-81.67,41.08
"7615",-86,42.56
"6568",150.48,-34.87
"5070",-71.89,41.6
"7520",-86.05,44.85
"6060",138.98,36.67
"6580",150.52,-34.72
"5045",-71.86,41.49
"4005",117.28,40.48
"5444",138.44,35.56
"2562",151.21,-29.61
"6292",37.37,37.37
"4676",5.319167,51.423056
"7632",138.7,35.62
"3139",-8.29,43.28
"3210",150.7,-34.67
"5070",-72.03,41.33
"5881",150.73,-34.68
"7342",136.11,34.19
"6535",141.42,39.72
"4676",5.59,51.712222
"3153",-71.37,47.17
"2631",-71.5,-41
"3976",140.2,40.5
"5125",-80.08,35.39
"4333",-71.32,-41.13
"2597",148.83,-37.46
"4676",5.614722,51.759167
"4676",5.945,52.0975
"4737",5.95,52.1
"4676",5.747222,52.015556
"4676",5.81,52.031667
"4737",5.81,52.03
"6972",-71.54,-41.05
"4736",49.46,37.47
"136",5.8,52.08
"1739",49.47,37.46
"4238",-78.71,35.81
"3526",-78.63,35.77
"1425",138.62,36.23
"192",-80.43,34.99
"4676",5.913611,52.273611
"4676",5.813056,52.259167
"4737",5.91,52.27
"4737",5.81,52.26
"4826",-78.79,35.84
"6331",148.55,-37.28
"3976",140.77,40.5
"3382",148.3,-37.03
"5692",139.53,36.5
"5165",139.15,35.48
"2775",150.65,-35.15
"4676",4.566111,52.343333
"3976",139.82,38.5
"5859",139.08,35.31
"7695",140.75,39.75
"61",145.87,-37.67
"2605",149.53,-35.82
"3382",148.33,-36.9
"4737",6.52,52.75
"1313",-71.52,-40.78
"5150",4.3,52.12
"4676",6.521111,52.753611
"4737",6.76,53.01
"4056",139.99,36.83
"4676",6.755278,53.012778
"4676",5.350278,52.060556
"4676",4.605,52.437778
"1103",145.99,-37.68
"7026",148.37,-37.12
"2627",153.13,-25.22
"4543",153.14,-25.18
"4676",5.228611,52.161944
"4916",143.56,-38.77
"6478",-71.22,-40.47
"4737",6.3,52.78
"4676",6.295556,52.783333
"3610",-2.62,51.49
"3529",139.26,35.75
"7217",143.54,-38.79
"5859",139.1,35.3
"3713",4.63,52.55
"7377",139.27,35.69
"5131",51.11,36.72
"2163",146.39,-39.01
"905",-71.36,-40.16
"4768",-2.54,51.79
"6128",146.97,-36.7
"4676",6.240278,52.879444
"4737",6.24,52.88
"7377",139.28,35.71
"3067",-68.53,48.45
"4305",-3.72,50.6
"4341",-3.18,51.48
"4676",4.671944,52.775833
"4676",4.666944,52.696389
